TICID,Tmag,RA,Dec,Nsector
21002564,11.63,272.6991,53.5904,15
21002598,8.25,272.6882,53.5005,15
21032363,8.16,273.1811,53.5575,21
21032446,8.76,273.2809,53.7011,15
21100271,11.95,274.4476,53.7032,17
21100276,11.93,274.4512,53.7016,17
21100540,11.41,274.4483,53.5141,16
21100558,11.77,274.4349,53.5024,16
21124766,12.81,274.9168,52.8148,14
21150978,9.07,275.0151,52.9067,16
21162252,6.24,275.9501,53.3008,17
21162620,13.11,275.9226,52.62,14
21282990,10.87,277.3035,53.0696,13
25063296,10.53,60.0683,-71.2316,13
25063986,10.02,60.0797,-68.967,24
25064377,10.37,59.9666,-67.6894,13
25064731,9.08,59.9243,-66.6278,16
25064848,9.87,59.9061,-66.2474,13
25065471,10.19,60.3077,-67.5572,25
25077654,10.83,60.3401,-67.7028,13
25077712,12.35,60.3654,-67.906,34
25078120,10.68,60.1681,-69.2898,18
25078597,11.75,60.343,-70.8621,13
25078674,6.53,60.1823,-71.1666,13
25078884,11.14,60.3146,-71.8762,13
25078924,10.71,60.931,-65.9728,33
25079689,11.15,60.8586,-68.3516,13
25079777,11.22,60.9554,-68.5723,25
25080362,11.13,60.8211,-70.5031,25
25080435,9.66,60.791,-70.7598,13
25080787,9.8,61.1942,-71.8804,16
25080867,9.73,61.09,-71.5589,24
25081005,10.31,61.1644,-71.144,13
25081091,9.87,61.0589,-70.8758,25
25081407,10.54,61.3303,-69.7218,13
25081575,9.9,61.304,-69.1118,25
25081629,14.06,61.1865,-68.9051,24
25081729,11.9,61.2296,-68.5371,33
25116119,9.69,61.2768,-66.8058,29
25116373,8.07,61.2365,-65.95,19
25116423,11.93,61.5038,-66.0803,33
25116563,10.71,61.5052,-66.5542,25
25116696,10.14,61.5239,-67.1063,13
25116870,11.06,61.6155,-67.7724,21
25117242,9.68,61.6391,-69.27,13
25117273,9.19,61.388,-69.4004,31
25117645,11.31,61.4172,-70.8545,22
25117741,11.11,61.5949,-71.2161,25
25117756,9.81,61.4763,-71.2691,25
25118098,9.56,61.7915,-71.5134,24
25118739,11.06,61.8704,-69.257,22
25118964,12.03,61.9333,-68.4196,33
25131718,11.62,62.1504,-66.5596,25
25131889,12.13,62.2076,-67.1806,22
25131892,11.42,62.2069,-67.1822,22
25132222,9.27,62.0007,-68.3613,26
25132314,8.03,62.1286,-68.7022,33
25132694,9.15,61.984,-70.2253,25
25132720,11.59,61.9861,-70.3032,23
25132754,10.25,62.1377,-70.4345,25
25132832,12.62,62.1378,-70.6923,14
25132893,10.61,62.0401,-70.9808,13
25132999,10.81,62.0298,-71.4496,33
25133016,13.42,62.2004,-71.5019,22
25133052,8.11,62.1402,-71.6393,24
25133068,9.4,62.0867,-71.6984,13
25133286,13.18,62.2975,-71.2948,32
25133604,13.13,62.3289,-70.004,26
25133636,10.56,62.4673,-69.8558,13
25134105,12.62,62.4618,-68.1812,13
25134376,8.94,62.4962,-67.328,33
25134377,8.29,62.5145,-67.3262,24
25134567,11.4,62.4214,-66.6228,13
25153041,9.32,63.1397,-70.6392,25
25153109,8.87,63.0168,-70.3889,25
25153167,13.57,63.0755,-70.1658,34
25153316,11.43,63.0784,-69.605,18
25153404,10.63,63.1266,-69.3085,13
25153635,14.7,62.9744,-68.559,33
25153759,17.32,63.0189,-68.1525,13
25154301,11.09,63.1536,-66.1759,22
25154831,10.32,63.2604,-67.5395,13
25155310,10.61,63.3751,-69.2265,33
25155464,11.09,63.3396,-69.703,13
25155510,11.23,63.3747,-69.8853,26
25155654,11.01,63.3351,-70.3906,13
25155698,8.29,63.4129,-70.5068,34
25155984,9.75,63.3166,-71.5566,25
25156036,9.34,63.4411,-71.7059,25
